site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,1,0.5000,0.5000,-0.5000,0.866025,7e-06,0.093975,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,2,0.5000,0.5000,-0.5000,0.866025,2.9e-05,0.38804,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,3,0.5000,0.5000,-0.5000,0.866025,6.9e-05,0.941749,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,4,0.5000,0.5000,-0.5000,0.866025,6.4e-05,0.867894,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,2,2,0.5000,0.5000,-0.5000,0.866025,-0.002057,-27.982461,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,2,3,0.5000,0.5000,-0.5000,0.866025,0.000217,2.952311,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,2,4,0.5000,0.5000,-0.5000,0.866025,0.00138,18.781154,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,3,3,0.5000,0.5000,-0.5000,0.866025,0.001707,23.230305,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,3,4,0.5000,0.5000,-0.5000,0.866025,0.001833,24.941566,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,4,4,0.5000,0.5000,-0.5000,0.866025,0.001365,18.57137,8,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,1,1.0000,0.0000,0.0000,1.0,-2e-06,-0.026223,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,2,1.0000,0.0000,0.0000,1.0,6.5e-05,0.882157,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,3,1.0000,0.0000,0.0000,1.0,4.4e-05,0.592062,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,4,1.0000,0.0000,0.0000,1.0,1.8e-05,0.241468,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,2,2,1.0000,0.0000,0.0000,1.0,0.000751,10.222088,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,2,3,1.0000,0.0000,0.0000,1.0,0.000808,10.997539,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,2,4,1.0000,0.0000,0.0000,1.0,0.000509,6.931982,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,3,3,1.0000,0.0000,0.0000,1.0,0.000607,8.260266,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,3,4,1.0000,0.0000,0.0000,1.0,0.000325,4.426191,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,4,4,1.0000,0.0000,0.0000,1.0,0.000178,2.426568,6,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
1,1,1,1,0.0000,-1.0000,1.0000,1.414214,-0.0,-0.003402,12,Mn0.25Al0.25Fe0.25Co0.25_2a_0,Mn0.25Al0.25Fe0.25Co0.25_2a_0
