site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,1,0.5000,0.5000,0.0000,0.707107,0.000104,1.41969,12,Mn_4b_0,Mn_4b_0
1,1,1,1,0.0000,0.0000,1.0000,1.0,6.2e-05,0.841134,6,Mn_4b_0,Mn_4b_0
1,1,1,1,1.0000,0.5000,0.5000,1.224745,-2.5e-05,-0.343158,24,Mn_4b_0,Mn_4b_0
1,1,1,1,1.0000,1.0000,0.0000,1.414214,2.2e-05,0.304633,12,Mn_4b_0,Mn_4b_0
1,1,1,1,0.0000,-0.5000,1.5000,1.581139,-1e-06,-0.01553,24,Mn_4b_0,Mn_4b_0
1,1,1,1,1.0000,1.0000,1.0000,1.732051,-3e-06,-0.038736,8,Mn_4b_0,Mn_4b_0
1,1,1,1,1.5000,1.0000,0.5000,1.870829,0.0,0.003705,48,Mn_4b_0,Mn_4b_0
1,1,1,1,0.0000,0.0000,2.0000,2.0,-4e-06,-0.050375,6,Mn_4b_0,Mn_4b_0
1,1,1,1,1.5000,1.5000,0.0000,2.12132,1e-06,0.011508,12,Mn_4b_0,Mn_4b_0
1,1,1,1,0.5000,-0.5000,2.0000,2.12132,0.0,0.002125,24,Mn_4b_0,Mn_4b_0
1,1,1,1,0.0000,-1.0000,2.0000,2.236068,-0.0,-0.002389,24,Mn_4b_0,Mn_4b_0
1,1,1,1,1.5000,1.5000,1.0000,2.345208,-1e-06,-0.010669,24,Mn_4b_0,Mn_4b_0
1,1,1,1,2.0000,1.0000,1.0000,2.44949,-0.0,-0.001143,24,Mn_4b_0,Mn_4b_0
1,1,1,1,2.0000,1.5000,0.5000,2.54951,0.0,0.000654,48,Mn_4b_0,Mn_4b_0
1,1,1,1,0.0000,-0.5000,2.5000,2.54951,0.0,0.004432,24,Mn_4b_0,Mn_4b_0
1,1,1,1,0.5000,-1.0000,2.5000,2.738613,-0.0,-0.001226,48,Mn_4b_0,Mn_4b_0
1,1,1,1,2.0000,2.0000,0.0000,2.828427,0.0,0.002499,12,Mn_4b_0,Mn_4b_0
1,1,1,1,2.0000,1.5000,1.5000,2.915476,0.0,0.004237,24,Mn_4b_0,Mn_4b_0
1,1,1,1,0.0000,-1.5000,2.5000,2.915476,0.0,0.002355,24,Mn_4b_0,Mn_4b_0
1,1,1,1,2.0000,2.0000,1.0000,3.0,-0.0,-0.001561,24,Mn_4b_0,Mn_4b_0
1,1,1,1,0.0000,0.0000,3.0000,3.0,-0.0,-0.006668,6,Mn_4b_0,Mn_4b_0
1,2,1,1,0.0000,0.0000,0.0000,0.433013,0.001053,14.333253,8,Mn_4b_0,Co_8c_4
1,2,1,1,1.0000,0.5000,0.5000,0.829156,6.3e-05,0.853522,24,Mn_4b_0,Co_8c_4
1,3,1,1,0.5000,0.5000,0.0000,1.089725,1.3e-05,0.178912,24,Mn_4b_0,Co_8c_4
1,2,1,1,1.0000,1.0000,1.0000,1.299038,2e-06,0.03302,8,Mn_4b_0,Co_8c_4
1,3,1,1,-0.5000,-0.5000,1.0000,1.299038,0.0,0.003939,24,Mn_4b_0,Co_8c_4
1,2,1,1,1.5000,1.0000,0.5000,1.47902,1e-06,0.014808,48,Mn_4b_0,Co_8c_4
1,3,1,1,1.0000,0.5000,0.5000,1.63936,0.0,0.003235,24,Mn_4b_0,Co_8c_4
1,3,1,1,1.0000,1.0000,0.0000,1.785357,2e-06,0.026576,24,Mn_4b_0,Co_8c_4
1,3,1,1,0.0000,-0.5000,1.5000,1.785357,-1e-06,-0.015869,24,Mn_4b_0,Co_8c_4
1,2,1,1,1.5000,1.5000,1.0000,1.920286,0.0,0.001143,24,Mn_4b_0,Co_8c_4
1,3,1,1,-0.5000,-1.0000,1.5000,1.920286,0.0,0.000471,48,Mn_4b_0,Co_8c_4
1,2,1,1,2.0000,1.0000,1.0000,2.046338,-0.0,-0.002236,24,Mn_4b_0,Co_8c_4
1,2,1,1,2.0000,1.5000,0.5000,2.165064,-0.0,-0.002713,48,Mn_4b_0,Co_8c_4
1,3,1,1,1.0000,1.0000,1.0000,2.165064,-0.0,-0.000234,8,Mn_4b_0,Co_8c_4
