site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
2,1,1,1,0.0000,0.0000,0.0000,0.99611,0.000978,13.307898,6,Co_2c_0,Co_2c_0
2,2,1,1,0.5000,0.8660,0.0000,1.0,0.000836,11.368894,6,Co_2c_0,Co_2c_0
2,1,1,1,1.0000,0.0000,0.0000,1.411465,0.000138,1.873256,6,Co_2c_0,Co_2c_0
2,2,1,1,0.0000,0.0000,1.6235,1.623454,0.000228,3.107496,2,Co_2c_0,Co_2c_0
2,1,1,1,0.5000,0.8660,0.0000,1.729808,9.2e-05,1.256328,12,Co_2c_0,Co_2c_0
2,2,1,1,1.5000,0.8660,0.0000,1.732051,8.8e-05,1.196416,6,Co_2c_0,Co_2c_0
2,2,1,1,0.5000,0.8660,1.6235,1.906726,-2.2e-05,-0.294139,12,Co_2c_0,Co_2c_0
2,2,1,1,1.0000,1.7321,0.0000,2.0,-0.000113,-1.533753,6,Co_2c_0,Co_2c_0
2,1,1,1,1.5000,0.8660,0.0000,2.234331,9e-06,0.122434,12,Co_2c_0,Co_2c_0
2,2,1,1,1.5000,0.8660,1.6235,2.373943,1.7e-05,0.230434,12,Co_2c_0,Co_2c_0
2,1,1,1,2.0000,-1.7321,0.0000,2.447904,4e-06,0.060544,6,Co_2c_0,Co_2c_0
2,1,1,1,0.0000,0.0000,3.2469,2.502687,9e-06,0.125683,6,Co_2c_0,Co_2c_0
2,2,1,1,1.0000,1.7321,1.6235,2.575967,1.1e-05,0.145303,12,Co_2c_0,Co_2c_0
2,1,1,1,1.0000,1.7321,0.0000,2.644283,-3.8e-05,-0.516136,12,Co_2c_0,Co_2c_0
2,2,1,1,2.0000,1.7321,0.0000,2.645751,-4.9e-05,-0.669002,12,Co_2c_0,Co_2c_0
2,1,1,1,1.0000,0.0000,3.2469,2.695077,-2.3e-05,-0.311877,6,Co_2c_0,Co_2c_0
2,1,1,1,0.5000,0.8660,3.2469,2.87462,-3e-06,-0.0401,12,Co_2c_0,Co_2c_0
2,1,1,1,2.5000,0.8660,0.0000,2.998705,1e-05,0.131078,6,Co_2c_0,Co_2c_0
2,2,1,1,1.5000,2.5981,0.0000,3.0,1.8e-05,0.250781,6,Co_2c_0,Co_2c_0
