site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,1,0.0000,1.0000,0.0000,1.0,3.6e-05,0.492606,4,Fe_1a_0,Fe_1a_0
1,1,1,1,0.0000,0.0000,1.2818,1.281772,0.001226,16.68482,2,Fe_1a_0,Fe_1a_0
1,1,1,1,1.0000,1.0000,0.0000,1.414214,0.000242,3.297711,4,Fe_1a_0,Fe_1a_0
1,1,1,1,0.0000,1.0000,1.2818,1.625712,-1.1e-05,-0.147463,8,Fe_1a_0,Fe_1a_0
1,1,1,1,1.0000,1.0000,1.2818,1.908649,-0.000802,-10.910007,8,Fe_1a_0,Fe_1a_0
1,1,1,1,0.0000,2.0000,0.0000,2.0,-0.000101,-1.378299,4,Fe_1a_0,Fe_1a_0
1,1,1,1,1.0000,2.0000,0.0000,2.236068,1.2e-05,0.161233,8,Fe_1a_0,Fe_1a_0
1,1,1,1,0.0000,2.0000,1.2818,2.375487,6.5e-05,0.880134,8,Fe_1a_0,Fe_1a_0
1,1,1,1,0.0000,0.0000,2.5635,2.563544,6.6e-05,0.898408,2,Fe_1a_0,Fe_1a_0
1,1,1,1,1.0000,2.0000,1.2818,2.57739,-2.3e-05,-0.307031,16,Fe_1a_0,Fe_1a_0
1,1,1,1,0.0000,1.0000,2.5635,2.751683,7e-06,0.09746,8,Fe_1a_0,Fe_1a_0
1,1,1,1,2.0000,2.0000,0.0000,2.828427,4.3e-05,0.579853,4,Fe_1a_0,Fe_1a_0
1,1,1,1,1.0000,1.0000,2.5635,2.927756,-9.5e-05,-1.287006,8,Fe_1a_0,Fe_1a_0
1,1,1,1,0.0000,3.0000,0.0000,3.0,6.3e-05,0.860602,4,Fe_1a_0,Fe_1a_0
1,2,1,1,0.0000,0.0000,0.0000,0.954324,0.000454,6.1736,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,0.0000,0.0000,0.0000,0.954324,0.000205,2.792763,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,1,0.0000,1.0000,0.0000,1.706088,4.9e-05,0.6655,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,0.0000,1.0000,0.0000,1.706088,3e-05,0.402193,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,1,0.0000,0.0000,1.2818,2.048564,2.4e-05,0.330051,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,0.0000,0.0000,1.2818,2.048564,8e-06,0.11131,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,1,1.0000,1.0000,0.0000,2.216018,-1e-06,-0.008988,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,1.0000,1.0000,0.0000,2.216018,2e-06,0.025534,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,1,0.0000,1.0000,1.2818,2.4893,-8e-06,-0.113765,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,0.0000,1.0000,1.2818,2.4893,-2e-06,-0.031229,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,1,0.0000,2.0000,0.0000,2.628828,-1.6e-05,-0.218542,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,0.0000,2.0000,0.0000,2.628828,-5e-06,-0.070025,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,1,1.0000,1.0000,1.2818,2.862973,4e-06,0.052057,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,1.0000,1.0000,1.2818,2.862973,-1e-06,-0.012857,8,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,1,1.0000,2.0000,0.0000,2.985085,1e-06,0.006804,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
1,2,1,2,1.0000,2.0000,0.0000,2.985085,0.0,0.006146,16,Fe_1a_0,Pt0.5Rh0.5_1d_1
2,2,1,1,0.0000,1.0000,0.0000,1.0,6e-06,0.079555,4,Pt0.5Rh0.5_1d_1,Pt0.5Rh0.5_1d_1
2,2,1,2,0.0000,1.0000,0.0000,1.0,1.2e-05,0.165015,4,Pt0.5Rh0.5_1d_1,Pt0.5Rh0.5_1d_1
2,2,2,2,0.0000,1.0000,0.0000,1.0,1.5e-05,0.201495,4,Pt0.5Rh0.5_1d_1,Pt0.5Rh0.5_1d_1
2,2,1,1,0.0000,0.0000,1.2818,1.281772,6e-06,0.087644,2,Pt0.5Rh0.5_1d_1,Pt0.5Rh0.5_1d_1
2,2,1,2,0.0000,0.0000,1.2818,1.281772,-2e-06,-0.027964,2,Pt0.5Rh0.5_1d_1,Pt0.5Rh0.5_1d_1
