site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,1,0.5000,0.5000,-0.5000,0.866025,0.001162,15.810168,8,Fe_2a_0,Fe_2a_0
1,1,1,1,1.0000,0.0000,0.0000,1.0,0.000822,11.180505,6,Fe_2a_0,Fe_2a_0
1,1,1,1,0.0000,-1.0000,1.0000,1.414214,-7.1e-05,-0.96598,12,Fe_2a_0,Fe_2a_0
1,1,1,1,1.5000,0.5000,-0.5000,1.658312,-7.2e-05,-0.985508,24,Fe_2a_0,Fe_2a_0
1,1,1,1,1.0000,1.0000,-1.0000,1.732051,3.6e-05,0.483296,8,Fe_2a_0,Fe_2a_0
1,1,1,1,2.0000,0.0000,0.0000,2.0,7.7e-05,1.042821,6,Fe_2a_0,Fe_2a_0
1,1,1,1,-0.5000,-1.5000,1.5000,2.179449,-1.8e-05,-0.243107,24,Fe_2a_0,Fe_2a_0
1,1,1,1,2.0000,1.0000,0.0000,2.236068,2.4e-05,0.328627,24,Fe_2a_0,Fe_2a_0
1,1,1,1,2.0000,1.0000,-1.0000,2.44949,1.5e-05,0.210116,24,Fe_2a_0,Fe_2a_0
1,1,1,1,1.5000,1.5000,-1.5000,2.598076,8.5e-05,1.151902,8,Fe_2a_0,Fe_2a_0
1,1,1,1,2.5000,0.5000,-0.5000,2.598076,-7e-06,-0.097784,24,Fe_2a_0,Fe_2a_0
1,1,1,1,0.0000,-2.0000,2.0000,2.828427,-3.3e-05,-0.455009,12,Fe_2a_0,Fe_2a_0
1,1,1,1,2.5000,1.5000,-0.5000,2.95804,-1.2e-05,-0.168518,48,Fe_2a_0,Fe_2a_0
1,1,1,1,-1.0000,-2.0000,2.0000,3.0,1e-05,0.138055,24,Fe_2a_0,Fe_2a_0
1,1,1,1,3.0000,0.0000,0.0000,3.0,3e-06,0.037018,6,Fe_2a_0,Fe_2a_0
