site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,1,0.5000,0.5000,0.0000,0.707107,0.000789,10.728503,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.5000,0.5000,0.0000,0.707107,0.000676,9.203154,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.5000,0.5000,0.0000,0.707107,0.000186,2.527404,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,0.0000,0.0000,1.0000,1.0,0.000529,7.200851,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.0000,0.0000,1.0000,1.0,7e-05,0.956867,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.0000,0.0000,1.0000,1.0,-1.7e-05,-0.234699,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,1.0000,0.5000,0.5000,1.224745,9.8e-05,1.327391,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,1.0000,0.5000,0.5000,1.224745,9.4e-05,1.285357,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,1.0000,0.5000,0.5000,1.224745,2e-05,0.277006,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,1.0000,1.0000,0.0000,1.414214,-0.000181,-2.458229,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,1.0000,1.0000,0.0000,1.414214,-4.8e-05,-0.659656,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,1.0000,1.0000,0.0000,1.414214,-4e-06,-0.052737,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,0.0000,-0.5000,1.5000,1.581139,2.7e-05,0.367112,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.0000,-0.5000,1.5000,1.581139,1.2e-05,0.165347,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.0000,-0.5000,1.5000,1.581139,1e-06,0.013688,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,1.0000,1.0000,1.0000,1.732051,8.5e-05,1.158786,8,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,1.0000,1.0000,1.0000,1.732051,2.6e-05,0.356178,8,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,1.0000,1.0000,1.0000,1.732051,-2e-06,-0.02496,8,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,1.5000,1.0000,0.5000,1.870829,-2.9e-05,-0.390053,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,1.5000,1.0000,0.5000,1.870829,1e-06,0.018758,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,1.5000,1.0000,0.5000,1.870829,4e-06,0.054495,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,0.0000,0.0000,2.0000,2.0,7e-06,0.089529,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.0000,0.0000,2.0000,2.0,3e-06,0.047009,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.0000,0.0000,2.0000,2.0,1e-06,0.010347,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
