site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,1,0.5000,0.5000,0.0000,0.707107,0.000256,3.48347,12,Ni_4a_0,Ni_4a_0
1,1,1,1,0.0000,0.0000,1.0000,1.0,-1.5e-05,-0.200551,6,Ni_4a_0,Ni_4a_0
1,1,1,1,1.0000,0.5000,0.5000,1.224745,1.9e-05,0.255648,24,Ni_4a_0,Ni_4a_0
1,1,1,1,1.0000,1.0000,0.0000,1.414214,2e-05,0.277753,12,Ni_4a_0,Ni_4a_0
1,1,1,1,0.0000,-0.5000,1.5000,1.581139,5e-06,0.07224,24,Ni_4a_0,Ni_4a_0
1,1,1,1,1.0000,1.0000,1.0000,1.732051,-1.4e-05,-0.18697,8,Ni_4a_0,Ni_4a_0
1,1,1,1,1.5000,1.0000,0.5000,1.870829,9e-06,0.120486,48,Ni_4a_0,Ni_4a_0
1,1,1,1,0.0000,0.0000,2.0000,2.0,2e-06,0.023131,6,Ni_4a_0,Ni_4a_0
1,1,1,1,1.5000,1.5000,0.0000,2.12132,-9e-06,-0.120827,12,Ni_4a_0,Ni_4a_0
1,1,1,1,0.5000,-0.5000,2.0000,2.12132,1e-06,0.008603,24,Ni_4a_0,Ni_4a_0
1,1,1,1,0.0000,-1.0000,2.0000,2.236068,-0.0,-0.000466,24,Ni_4a_0,Ni_4a_0
1,1,1,1,1.5000,1.5000,1.0000,2.345208,-3e-06,-0.034605,24,Ni_4a_0,Ni_4a_0
1,1,1,1,2.0000,1.0000,1.0000,2.44949,1e-06,0.015676,24,Ni_4a_0,Ni_4a_0
1,1,1,1,2.0000,1.5000,0.5000,2.54951,4e-06,0.049544,48,Ni_4a_0,Ni_4a_0
1,1,1,1,0.0000,-0.5000,2.5000,2.54951,0.0,0.004586,24,Ni_4a_0,Ni_4a_0
1,1,1,1,0.5000,-1.0000,2.5000,2.738613,-0.0,-0.000379,48,Ni_4a_0,Ni_4a_0
1,1,1,1,2.0000,2.0000,0.0000,2.828427,3e-06,0.038647,12,Ni_4a_0,Ni_4a_0
1,1,1,1,2.0000,1.5000,1.5000,2.915476,-4e-06,-0.054133,24,Ni_4a_0,Ni_4a_0
1,1,1,1,0.0000,-1.5000,2.5000,2.915476,0.0,0.002466,24,Ni_4a_0,Ni_4a_0
1,1,1,1,2.0000,2.0000,1.0000,3.0,0.0,0.004729,24,Ni_4a_0,Ni_4a_0
1,1,1,1,0.0000,0.0000,3.0000,3.0,1e-06,0.011806,6,Ni_4a_0,Ni_4a_0
