site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,1,0.0000,0.0000,0.7979,0.797872,2.1e-05,0.280703,2,Sm_1a_0,Sm_1a_0
1,1,1,1,0.5000,0.8660,0.0000,1.0,1.8e-05,0.247754,6,Sm_1a_0,Sm_1a_0
1,1,1,1,0.5000,0.8660,0.7979,1.279297,5e-06,0.063883,12,Sm_1a_0,Sm_1a_0
1,1,1,1,0.0000,0.0000,1.5957,1.595745,0.0,0.001774,2,Sm_1a_0,Sm_1a_0
1,1,1,1,1.5000,0.8660,0.0000,1.732051,0.0,0.003793,6,Sm_1a_0,Sm_1a_0
1,1,1,1,0.5000,0.8660,1.5957,1.883189,-0.0,-0.006565,12,Sm_1a_0,Sm_1a_0
1,1,1,1,1.5000,0.8660,0.7979,1.906987,-0.0,-0.004276,12,Sm_1a_0,Sm_1a_0
1,1,1,1,1.0000,1.7321,0.0000,2.0,1e-06,0.012696,6,Sm_1a_0,Sm_1a_0
1,1,1,1,1.0000,1.7321,0.7979,2.153277,-1e-06,-0.007043,12,Sm_1a_0,Sm_1a_0
1,1,1,1,1.5000,0.8660,1.5957,2.35508,-0.0,-0.002421,12,Sm_1a_0,Sm_1a_0
1,1,1,1,0.0000,0.0000,2.3936,2.393617,-0.0,-0.00628,2,Sm_1a_0,Sm_1a_0
1,1,1,1,1.0000,1.7321,1.5957,2.558594,-0.0,-0.001336,12,Sm_1a_0,Sm_1a_0
1,1,1,1,0.5000,0.8660,2.3936,2.594109,-0.0,-0.000144,12,Sm_1a_0,Sm_1a_0
1,1,1,1,2.0000,1.7321,0.0000,2.645751,0.0,0.001407,6,Sm_1a_0,Sm_1a_0
1,1,1,1,-0.5000,-2.5981,0.0000,2.645751,0.0,0.001407,6,Sm_1a_0,Sm_1a_0
1,1,1,1,2.0000,1.7321,0.7979,2.76344,0.0,0.000419,12,Sm_1a_0,Sm_1a_0
1,1,1,1,-0.5000,-2.5981,0.7979,2.76344,0.0,0.000419,12,Sm_1a_0,Sm_1a_0
1,1,1,1,1.5000,0.8660,2.3936,2.954556,0.0,0.001299,12,Sm_1a_0,Sm_1a_0
1,1,1,1,1.5000,2.5981,0.0000,3.0,0.0,0.000928,6,Sm_1a_0,Sm_1a_0
1,2,1,1,0.0000,0.0000,0.0000,0.639648,0.000204,2.778382,12,Sm_1a_0,Co_3g_1
